Country Date Cases Deaths Country0 Date0 Cases0 Deaths0
UK 2020-01-22 580 17 Italy 2020-01-22 580 17
UK 2020-01-23 845 25 Italy 2020-01-23 845 25
UK 2020-01-24 1317 41 Italy 2020-01-24 1317 41
UK 2020-01-25 2015 56 Italy 2020-01-25 2015 56
UK 2020-01-26 2800 80 Italy 2020-01-26 2800 80
UK 2020-01-27 4581 106 Italy 2020-01-27 4581 106
UK 2020-01-28 6058 132 Italy 2020-01-28 6058 132
UK 2020-01-29 7813 170 Italy 2020-01-29 7813 170
UK 2020-01-30 9823 213 Italy 2020-01-30 9823 213
UK 2020-01-31 11958 259 Italy 2020-01-31 11958 259
UK 2020-02-01 14581 304 Italy 2020-02-01 14581 304
UK 2020-02-02 17433 362 Italy 2020-02-02 17433 362
UK 2020-02-03 20691 426 Italy 2020-02-03 20691 426
UK 2020-02-04 24619 492 Italy 2020-02-04 24619 492
UK 2020-02-05 28355 565 Italy 2020-02-05 28355 565
UK 2020-02-06 31538 638 Italy 2020-02-06 31538 638
UK 2020-02-07 34991 724 Italy 2020-02-07 34991 724
UK 2020-02-08 37676 813 Italy 2020-02-08 37676 813
UK 2020-02-09 40681 910 Italy 2020-02-09 40681 910
UK 2020-02-10 43251 1018 Italy 2020-02-10 43251 1018
UK 2020-02-11 45302 1115 Italy 2020-02-11 45302 1115
UK 2020-02-12 59478 1261 Italy 2020-02-12 59478 1261
UK 2020-02-13 64663 1383 Italy 2020-02-13 64663 1383
UK 2020-02-14 67346 1526 Italy 2020-02-14 67346 1526
UK 2020-02-15 69479 1669 Italy 2020-02-15 69479 1669
UK 2020-02-16 71636 1775 Italy 2020-02-16 71636 1775
UK 2020-02-17 73675 1873 Italy 2020-02-17 73675 1873
UK 2020-02-18 75555 2009 Italy 2020-02-18 75555 2009
UK 2020-02-19 76093 2126 Italy 2020-02-19 76093 2126
UK 2020-02-20 77132 2247 Italy 2020-02-20 77132 2247
UK 2020-02-21 78191 2360 Italy 2020-02-21 78191 2360
UK 2020-02-22 79228 2460 Italy 2020-02-22 79228 2460
UK 2020-02-23 79855 2618 Italy 2020-02-23 79855 2618
UK 2020-02-24 80854 2699 Italy 2020-02-24 80854 2699
UK 2020-02-25 81729 2763 Italy 2020-02-25 81729 2763
UK 2020-02-26 82884 2800 Italy 2020-02-26 82884 2800
UK 2020-02-27 84356 2858 Italy 2020-02-27 84356 2858
UK 2020-02-28 86191 2923 Italy 2020-02-28 86191 2923
UK 2020-02-29 88409 2977 Italy 2020-02-29 88409 2977
UK 2020-03-01 91071 3050 Italy 2020-03-01 91071 3050
UK 2020-03-02 93715 3117 Italy 2020-03-02 93715 3117
UK 2020-03-03 97046 3202 Italy 2020-03-03 97046 3202
UK 2020-03-04 100252 3285 Italy 2020-03-04 100252 3285
UK 2020-03-05 104579 3387 Italy 2020-03-05 104579 3387
UK 2020-03-06 109753 3493 Italy 2020-03-06 109753 3493
UK 2020-03-07 115524 3599 Italy 2020-03-07 115524 3599
UK 2020-03-08 121487 3827 Italy 2020-03-08 121487 3827
UK 2020-03-09 128781 4024 Italy 2020-03-09 128781 4024
UK 2020-03-10 137638 4299 Italy 2020-03-10 137638 4299
UK 2020-03-11 149103 4630 Italy 2020-03-11 149103 4630
UK 2020-03-12 162523 4984 Italy 2020-03-12 162523 4984
UK 2020-03-13 179286 5433 Italy 2020-03-13 179286 5433
UK 2020-03-14 196613 5848 Italy 2020-03-14 196613 5848
UK 2020-03-15 216113 6540 Italy 2020-03-15 216113 6540
UK 2020-03-16 236835 7187 Italy 2020-03-16 236835 7187
UK 2020-03-17 259623 8007 Italy 2020-03-17 259623 8007
UK 2020-03-18 286460 8994 Italy 2020-03-18 286460 8994
UK 2020-03-19 318091 10095 Italy 2020-03-19 318091 10095
UK 2020-03-20 356108 11474 Italy 2020-03-20 356108 11474
UK 2020-03-21 389132 13126 Italy 2020-03-21 389132 13126
UK 2020-03-22 425208 14768 Italy 2020-03-22 425208 14768
UK 2020-03-23 468878 16702 Italy 2020-03-23 468878 16702
UK 2020-03-24 513128 19193 Italy 2020-03-24 513128 19193
UK 2020-03-25 561496 21779 Italy 2020-03-25 561496 21779
UK 2020-03-26 620603 24795 Italy 2020-03-26 620603 24795
UK 2020-03-27 683547 28279 Italy 2020-03-27 683547 28279
UK 2020-03-28 748170 31996 Italy 2020-03-28 748170 31996
UK 2020-03-29 806101 35381 Italy 2020-03-29 806101 35381
UK 2020-03-30 867897 39566 Italy 2020-03-30 867897 39566
UK 2020-03-31 938478 44315 Italy 2020-03-31 938478 44315
UK 2020-04-01 1013146 49520 Italy 2020-04-01 1013146 49520
UK 2020-04-02 1090029 55806 Italy 2020-04-02 1090029 55806
UK 2020-04-03 1171630 61854 Italy 2020-04-03 1171630 61854
