Country Date Cases Deaths Country0 Date0 Cases0 Deaths0
USA 2020-02-05 NA NA Italy 2020-02-15 3 NA
USA 2020-02-06 NA NA Italy 2020-02-16 3 NA
USA 2020-02-07 NA NA Italy 2020-02-17 3 NA
USA 2020-02-08 NA NA Italy 2020-02-18 3 NA
USA 2020-02-09 NA NA Italy 2020-02-19 3 NA
USA 2020-02-10 NA NA Italy 2020-02-20 4 NA
USA 2020-02-11 NA NA Italy 2020-02-21 21 1
USA 2020-02-12 NA NA Italy 2020-02-22 79 2
USA 2020-02-13 NA NA Italy 2020-02-23 157 3
USA 2020-02-14 NA NA Italy 2020-02-24 229 7
USA 2020-02-15 15 NA Italy 2020-02-25 323 11
USA 2020-02-16 15 NA Italy 2020-02-26 470 12
USA 2020-02-17 15 NA Italy 2020-02-27 655 17
USA 2020-02-18 15 NA Italy 2020-02-28 889 21
USA 2020-02-19 15 NA Italy 2020-02-29 1128 29
USA 2020-02-20 15 NA Italy 2020-03-01 1702 41
USA 2020-02-21 35 NA Italy 2020-03-02 2038 52
USA 2020-02-22 35 NA Italy 2020-03-03 2504 79
USA 2020-02-23 35 NA Italy 2020-03-04 3092 107
USA 2020-02-24 53 NA Italy 2020-03-05 3861 148
USA 2020-02-25 57 NA Italy 2020-03-06 4639 197
USA 2020-02-26 60 NA Italy 2020-03-07 5886 233
USA 2020-02-27 60 NA Italy 2020-03-08 7380 367
USA 2020-02-28 63 NA Italy 2020-03-09 9179 464
USA 2020-02-29 68 1 Italy 2020-03-10 10156 633
USA 2020-03-01 75 1 Italy 2020-03-11 12469 830
USA 2020-03-02 100 6 Italy 2020-03-12 15122 1020
USA 2020-03-03 124 9 Italy 2020-03-13 17670 1271
USA 2020-03-04 158 11 Italy 2020-03-14 21169 1447
USA 2020-03-05 221 12 Italy 2020-03-15 24762 1816
USA 2020-03-06 319 15 Italy 2020-03-16 27997 2166
USA 2020-03-07 435 19 Italy 2020-03-17 31524 2512
USA 2020-03-08 541 22 Italy 2020-03-18 35732 2988
USA 2020-03-09 704 26 Italy 2020-03-19 41056 3416
USA 2020-03-10 994 30 Italy 2020-03-20 47044 4045
