Country Date Cases Deaths Country0 Date0 Cases0 Deaths0
USA 2020-02-15 15 NA Italy 2020-02-15 3 NA
USA 2020-02-16 15 NA Italy 2020-02-16 3 NA
USA 2020-02-17 15 NA Italy 2020-02-17 3 NA
USA 2020-02-18 15 NA Italy 2020-02-18 3 NA
USA 2020-02-19 15 NA Italy 2020-02-19 3 NA
USA 2020-02-20 15 NA Italy 2020-02-20 4 NA
USA 2020-02-21 35 NA Italy 2020-02-21 21 1
USA 2020-02-22 35 NA Italy 2020-02-22 79 2
USA 2020-02-23 35 NA Italy 2020-02-23 157 3
USA 2020-02-24 53 NA Italy 2020-02-24 229 7
USA 2020-02-25 57 NA Italy 2020-02-25 323 11
USA 2020-02-26 60 NA Italy 2020-02-26 470 12
USA 2020-02-27 60 NA Italy 2020-02-27 655 17
USA 2020-02-28 63 NA Italy 2020-02-28 889 21
USA 2020-02-29 68 1 Italy 2020-02-29 1128 29
USA 2020-03-01 75 1 Italy 2020-03-01 1701 41
USA 2020-03-02 100 6 Italy 2020-03-02 2036 52
USA 2020-03-03 124 9 Italy 2020-03-03 2502 79
USA 2020-03-04 158 11 Italy 2020-03-04 3089 107
USA 2020-03-05 221 12 Italy 2020-03-05 3858 148
USA 2020-03-06 319 15 Italy 2020-03-06 4636 197
USA 2020-03-07 435 19 Italy 2020-03-07 5883 233
USA 2020-03-08 541 22 Italy 2020-03-08 7375 366
USA 2020-03-09 704 26 Italy 2020-03-09 9172 463
USA 2020-03-10 994 30 Italy 2020-03-10 10149 631
USA 2020-03-11 1301 38 Italy 2020-03-11 12462 827
USA 2020-03-12 1630 41 Italy 2020-03-12 15113 1016
USA 2020-03-13 2183 48 Italy 2020-03-13 17660 1266
USA 2020-03-14 2770 57 Italy 2020-03-14 21157 1441
USA 2020-03-15 3613 69 Italy 2020-03-15 24747 1809
USA 2020-03-16 4596 87 Italy 2020-03-16 27980 2158
USA 2020-03-17 6344 110 Italy 2020-03-17 31506 2503
USA 2020-03-18 9197 150 Italy 2020-03-18 35713 2978
USA 2020-03-19 13779 206 Italy 2020-03-19 41035 3405
USA 2020-03-20 19367 255 Italy 2020-03-20 47021 4032
USA 2020-03-21 24192 301 Italy 2020-03-21 53578 4825
USA 2020-03-22 33592 414 Italy 2020-03-22 59138 5476
USA 2020-03-23 43781 555 Italy 2020-03-23 63927 6077
USA 2020-03-24 54856 780 Italy 2020-03-24 69176 6820
USA 2020-03-25 68211 1027 Italy 2020-03-25 74386 7503
USA 2020-03-26 85435 1295 Italy 2020-03-26 80589 8215
USA 2020-03-27 104126 1695 Italy 2020-03-27 86498 9134
USA 2020-03-28 123578 2220 Italy 2020-03-28 92472 10023
USA 2020-03-29 143491 2583 Italy 2020-03-29 97689 10779
USA 2020-03-30 163788 3141 Italy 2020-03-30 101739 11591
USA 2020-03-31 188530 4053 Italy 2020-03-31 105792 12428
USA 2020-04-01 215003 5102 Italy 2020-04-01 110574 13155
USA 2020-04-02 244877 6076 Italy 2020-04-02 115242 13915
USA 2020-04-03 277161 7121 Italy 2020-04-03 119827 14681
USA 2020-04-04 311357 8451 Italy 2020-04-04 124632 15362
USA 2020-04-05 336673 9616 Italy 2020-04-05 128948 15887
USA 2020-04-06 367004 10871 Italy 2020-04-06 132547 16523
USA 2020-04-07 400335 12841 Italy 2020-04-07 135586 17127
