Country Date Cases Deaths Country0 Date0 Cases0 Deaths0
Netherlands 2020-01-22 580 17 Italy 2020-01-22 580 17
Netherlands 2020-01-23 845 25 Italy 2020-01-23 845 25
Netherlands 2020-01-24 1317 41 Italy 2020-01-24 1317 41
Netherlands 2020-01-25 2015 56 Italy 2020-01-25 2015 56
Netherlands 2020-01-26 2800 80 Italy 2020-01-26 2800 80
Netherlands 2020-01-27 4581 106 Italy 2020-01-27 4581 106
Netherlands 2020-01-28 6058 132 Italy 2020-01-28 6058 132
Netherlands 2020-01-29 7813 170 Italy 2020-01-29 7813 170
Netherlands 2020-01-30 9823 213 Italy 2020-01-30 9823 213
Netherlands 2020-01-31 11958 259 Italy 2020-01-31 11958 259
Netherlands 2020-02-01 14581 304 Italy 2020-02-01 14581 304
Netherlands 2020-02-02 17433 362 Italy 2020-02-02 17433 362
Netherlands 2020-02-03 20691 426 Italy 2020-02-03 20691 426
Netherlands 2020-02-04 24619 492 Italy 2020-02-04 24619 492
Netherlands 2020-02-05 28355 565 Italy 2020-02-05 28355 565
Netherlands 2020-02-06 31538 638 Italy 2020-02-06 31538 638
Netherlands 2020-02-07 34991 724 Italy 2020-02-07 34991 724
Netherlands 2020-02-08 37676 813 Italy 2020-02-08 37676 813
Netherlands 2020-02-09 40681 910 Italy 2020-02-09 40681 910
Netherlands 2020-02-10 43251 1018 Italy 2020-02-10 43251 1018
Netherlands 2020-02-11 45302 1115 Italy 2020-02-11 45302 1115
Netherlands 2020-02-12 59478 1261 Italy 2020-02-12 59478 1261
Netherlands 2020-02-13 64663 1383 Italy 2020-02-13 64663 1383
Netherlands 2020-02-14 67346 1526 Italy 2020-02-14 67346 1526
Netherlands 2020-02-15 69479 1669 Italy 2020-02-15 69479 1669
Netherlands 2020-02-16 71636 1775 Italy 2020-02-16 71636 1775
Netherlands 2020-02-17 73675 1873 Italy 2020-02-17 73675 1873
Netherlands 2020-02-18 75555 2009 Italy 2020-02-18 75555 2009
Netherlands 2020-02-19 76093 2126 Italy 2020-02-19 76093 2126
