Country Date Cases Deaths Country0 Date0 Cases0 Deaths0
USA 2020-02-05 NA NA Italy 2020-02-15 3 NA
USA 2020-02-06 NA NA Italy 2020-02-16 3 NA
USA 2020-02-07 NA NA Italy 2020-02-17 3 NA
USA 2020-02-08 NA NA Italy 2020-02-18 3 NA
USA 2020-02-09 NA NA Italy 2020-02-19 3 NA
USA 2020-02-10 NA NA Italy 2020-02-20 4 NA
USA 2020-02-11 NA NA Italy 2020-02-21 21 1
USA 2020-02-12 NA NA Italy 2020-02-22 79 2
USA 2020-02-13 NA NA Italy 2020-02-23 157 3
USA 2020-02-14 NA NA Italy 2020-02-24 229 7
USA 2020-02-15 15 NA Italy 2020-02-25 323 11
USA 2020-02-16 15 NA Italy 2020-02-26 470 12
USA 2020-02-17 15 NA Italy 2020-02-27 655 17
USA 2020-02-18 15 NA Italy 2020-02-28 889 21
USA 2020-02-19 15 NA Italy 2020-02-29 1128 29
USA 2020-02-20 15 NA Italy 2020-03-01 1701 41
USA 2020-02-21 35 NA Italy 2020-03-02 2036 52
USA 2020-02-22 35 NA Italy 2020-03-03 2502 79
USA 2020-02-23 35 NA Italy 2020-03-04 3089 107
USA 2020-02-24 53 NA Italy 2020-03-05 3858 148
USA 2020-02-25 57 NA Italy 2020-03-06 4636 197
USA 2020-02-26 60 NA Italy 2020-03-07 5883 233
USA 2020-02-27 60 NA Italy 2020-03-08 7375 366
USA 2020-02-28 63 NA Italy 2020-03-09 9172 463
USA 2020-02-29 68 1 Italy 2020-03-10 10149 631
USA 2020-03-01 75 1 Italy 2020-03-11 12462 827
USA 2020-03-02 100 6 Italy 2020-03-12 15113 1016
USA 2020-03-03 124 9 Italy 2020-03-13 17660 1266
USA 2020-03-04 158 11 Italy 2020-03-14 21157 1441
USA 2020-03-05 221 12 Italy 2020-03-15 24747 1809
USA 2020-03-06 319 15 Italy 2020-03-16 27980 2158
USA 2020-03-07 435 19 Italy 2020-03-17 31506 2503
USA 2020-03-08 541 22 Italy 2020-03-18 35713 2978
USA 2020-03-09 704 26 Italy 2020-03-19 41035 3405
USA 2020-03-10 994 30 Italy 2020-03-20 47021 4032
