Country Date Cases Deaths Country0 Date0 Cases0 Deaths0
USA 2020-01-22 580 17 Italy 2020-01-22 580 17
USA 2020-01-23 845 25 Italy 2020-01-23 845 25
USA 2020-01-24 1317 41 Italy 2020-01-24 1317 41
USA 2020-01-25 2015 56 Italy 2020-01-25 2015 56
USA 2020-01-26 2800 80 Italy 2020-01-26 2800 80
USA 2020-01-27 4581 106 Italy 2020-01-27 4581 106
USA 2020-01-28 6058 132 Italy 2020-01-28 6058 132
USA 2020-01-29 7813 170 Italy 2020-01-29 7813 170
USA 2020-01-30 9823 213 Italy 2020-01-30 9823 213
USA 2020-01-31 11958 259 Italy 2020-01-31 11958 259
USA 2020-02-01 14581 304 Italy 2020-02-01 14581 304
USA 2020-02-02 17433 362 Italy 2020-02-02 17433 362
USA 2020-02-03 20691 426 Italy 2020-02-03 20691 426
USA 2020-02-04 24619 492 Italy 2020-02-04 24619 492
USA 2020-02-05 28355 565 Italy 2020-02-05 28355 565
USA 2020-02-06 31538 638 Italy 2020-02-06 31538 638
USA 2020-02-07 34991 724 Italy 2020-02-07 34991 724
USA 2020-02-08 37676 813 Italy 2020-02-08 37676 813
USA 2020-02-09 40681 910 Italy 2020-02-09 40681 910
USA 2020-02-10 43251 1018 Italy 2020-02-10 43251 1018
USA 2020-02-11 45302 1115 Italy 2020-02-11 45302 1115
USA 2020-02-12 59478 1261 Italy 2020-02-12 59478 1261
USA 2020-02-13 64663 1383 Italy 2020-02-13 64663 1383
USA 2020-02-14 67346 1526 Italy 2020-02-14 67346 1526
USA 2020-02-15 69479 1669 Italy 2020-02-15 69479 1669
USA 2020-02-16 71636 1775 Italy 2020-02-16 71636 1775
USA 2020-02-17 73675 1873 Italy 2020-02-17 73675 1873
USA 2020-02-18 75555 2009 Italy 2020-02-18 75555 2009
USA 2020-02-19 76093 2126 Italy 2020-02-19 76093 2126
USA 2020-02-20 77132 2247 Italy 2020-02-20 77132 2247
USA 2020-02-21 78191 2360 Italy 2020-02-21 78191 2360
USA 2020-02-22 79228 2460 Italy 2020-02-22 79228 2460
USA 2020-02-23 79855 2618 Italy 2020-02-23 79855 2618
USA 2020-02-24 80854 2699 Italy 2020-02-24 80854 2699
USA 2020-02-25 81729 2763 Italy 2020-02-25 81729 2763
USA 2020-02-26 82884 2800 Italy 2020-02-26 82884 2800
USA 2020-02-27 84356 2858 Italy 2020-02-27 84356 2858
USA 2020-02-28 86191 2923 Italy 2020-02-28 86191 2923
