Country Date Cases Deaths Country0 Date0 Cases0 Deaths0
Netherlands 2020-01-22 580 17 Italy 2020-01-22 580 17
Netherlands 2020-01-23 845 25 Italy 2020-01-23 845 25
Netherlands 2020-01-24 1317 41 Italy 2020-01-24 1317 41
Netherlands 2020-01-25 2015 56 Italy 2020-01-25 2015 56
Netherlands 2020-01-26 2800 80 Italy 2020-01-26 2800 80
Netherlands 2020-01-27 4581 106 Italy 2020-01-27 4581 106
Netherlands 2020-01-28 6058 132 Italy 2020-01-28 6058 132
Netherlands 2020-01-29 7813 170 Italy 2020-01-29 7813 170
Netherlands 2020-01-30 9823 213 Italy 2020-01-30 9823 213
Netherlands 2020-01-31 11950 259 Italy 2020-01-31 11950 259
Netherlands 2020-02-01 14553 304 Italy 2020-02-01 14553 304
Netherlands 2020-02-02 17391 362 Italy 2020-02-02 17391 362
Netherlands 2020-02-03 20630 426 Italy 2020-02-03 20630 426
Netherlands 2020-02-04 24545 492 Italy 2020-02-04 24545 492
Netherlands 2020-02-05 28266 565 Italy 2020-02-05 28266 565
Netherlands 2020-02-06 31439 638 Italy 2020-02-06 31439 638
Netherlands 2020-02-07 34876 724 Italy 2020-02-07 34876 724
Netherlands 2020-02-08 37552 813 Italy 2020-02-08 37552 813
Netherlands 2020-02-09 40553 910 Italy 2020-02-09 40553 910
Netherlands 2020-02-10 43099 1018 Italy 2020-02-10 43099 1018
Netherlands 2020-02-11 45134 1115 Italy 2020-02-11 45134 1115
Netherlands 2020-02-12 59287 1261 Italy 2020-02-12 59287 1261
Netherlands 2020-02-13 64438 1383 Italy 2020-02-13 64438 1383
Netherlands 2020-02-14 67100 1526 Italy 2020-02-14 67100 1526
Netherlands 2020-02-15 69197 1669 Italy 2020-02-15 69197 1669
Netherlands 2020-02-16 71329 1775 Italy 2020-02-16 71329 1775
Netherlands 2020-02-17 73332 1873 Italy 2020-02-17 73332 1873
Netherlands 2020-02-18 75184 2009 Italy 2020-02-18 75184 2009
Netherlands 2020-02-19 75700 2126 Italy 2020-02-19 75700 2126
