Country Date Cases Deaths Country0 Date0 Cases0 Deaths0
UK 2020-02-15 9 NA Italy 2020-01-29 NA NA
UK 2020-02-16 9 NA Italy 2020-01-30 NA NA
UK 2020-02-17 9 NA Italy 2020-01-31 NA NA
UK 2020-02-18 9 NA Italy 2020-02-01 NA NA
UK 2020-02-19 9 NA Italy 2020-02-02 NA NA
UK 2020-02-20 9 NA Italy 2020-02-03 NA NA
UK 2020-02-21 9 NA Italy 2020-02-04 NA NA
UK 2020-02-22 9 NA Italy 2020-02-05 NA NA
UK 2020-02-23 13 NA Italy 2020-02-06 NA NA
UK 2020-02-24 13 NA Italy 2020-02-07 NA NA
UK 2020-02-25 13 NA Italy 2020-02-08 NA NA
UK 2020-02-26 13 NA Italy 2020-02-09 NA NA
UK 2020-02-27 16 NA Italy 2020-02-10 NA NA
UK 2020-02-28 20 NA Italy 2020-02-11 NA NA
UK 2020-02-29 23 NA Italy 2020-02-12 NA NA
UK 2020-03-01 35 NA Italy 2020-02-13 NA NA
UK 2020-03-02 38 NA Italy 2020-02-14 NA NA
UK 2020-03-03 49 NA Italy 2020-02-15 3 NA
UK 2020-03-04 82 NA Italy 2020-02-16 3 NA
UK 2020-03-05 108 1 Italy 2020-02-17 3 NA
UK 2020-03-06 151 1 Italy 2020-02-18 3 NA
UK 2020-03-07 192 2 Italy 2020-02-19 3 NA
UK 2020-03-08 254 2 Italy 2020-02-20 4 NA
UK 2020-03-09 293 3 Italy 2020-02-21 21 1
UK 2020-03-10 349 7 Italy 2020-02-22 79 2
UK 2020-03-11 419 7 Italy 2020-02-23 157 3
UK 2020-03-12 536 9 Italy 2020-02-24 229 7
UK 2020-03-13 725 10 Italy 2020-02-25 323 11
UK 2020-03-14 1035 28 Italy 2020-02-26 470 12
UK 2020-03-15 1263 42 Italy 2020-02-27 655 17
UK 2020-03-16 1400 64 Italy 2020-02-28 889 21
UK 2020-03-17 1769 79 Italy 2020-02-29 1128 29
UK 2020-03-18 2382 112 Italy 2020-03-01 1702 41
UK 2020-03-19 2965 154 Italy 2020-03-02 2038 52
UK 2020-03-20 3612 186 Italy 2020-03-03 2504 79
UK 2020-03-21 4550 240 Italy 2020-03-04 3092 107
UK 2020-03-22 5153 264 Italy 2020-03-05 3861 148
UK 2020-03-23 6030 331 Italy 2020-03-06 4639 197
UK 2020-03-24 7323 474 Italy 2020-03-07 5886 233
UK 2020-03-25 8639 652 Italy 2020-03-08 7380 367
UK 2020-03-26 10568 878 Italy 2020-03-09 9179 464
UK 2020-03-27 13182 1161 Italy 2020-03-10 10156 633
UK 2020-03-28 15489 1455 Italy 2020-03-11 12469 830
UK 2020-03-29 17693 1669 Italy 2020-03-12 15122 1020
UK 2020-03-30 20066 2043 Italy 2020-03-13 17670 1271
UK 2020-03-31 22792 2425 Italy 2020-03-14 21169 1447
UK 2020-04-01 26709 3086 Italy 2020-03-15 24762 1816
UK 2020-04-02 30554 3726 Italy 2020-03-16 27997 2166
UK 2020-04-03 34586 4460 Italy 2020-03-17 31524 2512
UK 2020-04-04 37970 5220 Italy 2020-03-18 35732 2988
UK 2020-04-05 43318 5864 Italy 2020-03-19 41056 3416
UK 2020-04-06 46762 6431 Italy 2020-03-20 47044 4045
UK 2020-04-07 50055 7468 Italy 2020-03-21 53598 4841
UK 2020-04-08 55029 8500 Italy 2020-03-22 59158 5494
UK 2020-04-09 58964 9606 Italy 2020-03-23 63941 6097
UK 2020-04-10 66824 10755 Italy 2020-03-24 69181 6842
UK 2020-04-11 71565 11594 Italy 2020-03-25 74379 7527
UK 2020-04-12 76356 12278 Italy 2020-03-26 80581 8241
UK 2020-04-13 80289 13022 Italy 2020-03-27 86488 9162
UK 2020-04-14 85047 14063 Italy 2020-03-28 92461 10053
UK 2020-04-15 89217 14903 Italy 2020-03-29 97676 10811
UK 2020-04-16 93400 15931 Italy 2020-03-30 101723 11626
UK 2020-04-17 98473 16866 Italy 2020-03-31 105776 12466
UK 2020-04-18 103479 17974 Italy 2020-04-01 110559 13195
UK 2020-04-19 108779 18468 Italy 2020-04-02 115228 13957
UK 2020-04-20 113015 19024 Italy 2020-04-03 119813 14726
UK 2020-04-21 116911 20190 Italy 2020-04-04 124620 15409
UK 2020-04-22 120944 21013 Italy 2020-04-05 128938 15935
UK 2020-04-23 125096 21731 Italy 2020-04-06 132537 16573
UK 2020-04-24 129975 22733 Italy 2020-04-07 135574 17179
UK 2020-04-25 134426 23564 Italy 2020-04-08 139408 17722
UK 2020-04-26 138470 23968 Italy 2020-04-09 143612 18334
UK 2020-04-27 142373 24288 Italy 2020-04-10 147562 18906
UK 2020-04-28 145993 25190 Italy 2020-04-11 152259 19527
UK 2020-04-29 149686 25957 Italy 2020-04-12 156353 19959
UK 2020-04-30 155151 26614 Italy 2020-04-13 159506 20527
UK 2020-05-01 160769 27323 Italy 2020-04-14 162479 21131
UK 2020-05-02 165123 27910 Italy 2020-04-15 165145 21711
UK 2020-05-03 169054 28201 Italy 2020-04-16 168932 22237
UK 2020-05-04 172664 28479 Italy 2020-04-17 172426 22803
