Country Date Cases Deaths Country0 Date0 Cases0 Deaths0
UK 2020-02-15 9 NA Italy 2020-01-30 NA NA
UK 2020-02-16 9 NA Italy 2020-01-31 NA NA
UK 2020-02-17 9 NA Italy 2020-02-01 NA NA
UK 2020-02-18 9 NA Italy 2020-02-02 NA NA
UK 2020-02-19 9 NA Italy 2020-02-03 NA NA
UK 2020-02-20 9 NA Italy 2020-02-04 NA NA
UK 2020-02-21 9 NA Italy 2020-02-05 NA NA
UK 2020-02-22 9 NA Italy 2020-02-06 NA NA
UK 2020-02-23 13 NA Italy 2020-02-07 NA NA
UK 2020-02-24 13 NA Italy 2020-02-08 NA NA
UK 2020-02-25 13 NA Italy 2020-02-09 NA NA
UK 2020-02-26 13 NA Italy 2020-02-10 NA NA
UK 2020-02-27 16 NA Italy 2020-02-11 NA NA
UK 2020-02-28 20 NA Italy 2020-02-12 NA NA
UK 2020-02-29 23 NA Italy 2020-02-13 NA NA
UK 2020-03-01 36 NA Italy 2020-02-14 NA NA
UK 2020-03-02 39 NA Italy 2020-02-15 3 NA
UK 2020-03-03 51 NA Italy 2020-02-16 3 NA
UK 2020-03-04 87 NA Italy 2020-02-17 3 NA
UK 2020-03-05 116 1 Italy 2020-02-18 3 NA
UK 2020-03-06 164 1 Italy 2020-02-19 3 NA
UK 2020-03-07 209 1 Italy 2020-02-20 4 NA
UK 2020-03-08 278 2 Italy 2020-02-21 21 1
UK 2020-03-09 321 3 Italy 2020-02-22 79 2
UK 2020-03-10 383 7 Italy 2020-02-23 157 3
UK 2020-03-11 460 7 Italy 2020-02-24 229 7
UK 2020-03-12 590 9 Italy 2020-02-25 323 11
UK 2020-03-13 798 10 Italy 2020-02-26 470 12
UK 2020-03-14 1140 28 Italy 2020-02-27 655 17
UK 2020-03-15 1391 43 Italy 2020-02-28 889 21
UK 2020-03-16 1543 65 Italy 2020-02-29 1128 29
UK 2020-03-17 1950 81 Italy 2020-03-01 1701 41
UK 2020-03-18 2626 115 Italy 2020-03-02 2036 52
UK 2020-03-19 3269 158 Italy 2020-03-03 2502 79
UK 2020-03-20 3983 194 Italy 2020-03-04 3089 107
UK 2020-03-21 5018 250 Italy 2020-03-05 3858 148
UK 2020-03-22 5683 285 Italy 2020-03-06 4636 197
UK 2020-03-23 6650 359 Italy 2020-03-07 5883 233
UK 2020-03-24 8077 508 Italy 2020-03-08 7375 366
UK 2020-03-25 9529 694 Italy 2020-03-09 9172 463
UK 2020-03-26 11658 877 Italy 2020-03-10 10149 631
UK 2020-03-27 14543 1161 Italy 2020-03-11 12462 827
UK 2020-03-28 17089 1455 Italy 2020-03-12 15113 1016
UK 2020-03-29 19522 1669 Italy 2020-03-13 17660 1266
UK 2020-03-30 22141 2043 Italy 2020-03-14 21157 1441
UK 2020-03-31 25150 2425 Italy 2020-03-15 24747 1809
UK 2020-04-01 29474 3095 Italy 2020-03-16 27980 2158
UK 2020-04-02 33718 3747 Italy 2020-03-17 31506 2503
UK 2020-04-03 38168 4461 Italy 2020-03-18 35713 2978
UK 2020-04-04 41903 5221 Italy 2020-03-19 41035 3405
UK 2020-04-05 47806 5865 Italy 2020-03-20 47021 4032
UK 2020-04-06 51608 6433 Italy 2020-03-21 53578 4825
UK 2020-04-07 55242 7471 Italy 2020-03-22 59138 5476
UK 2020-04-08 60733 8505 Italy 2020-03-23 63927 6077
UK 2020-04-09 65077 9608 Italy 2020-03-24 69176 6820
UK 2020-04-10 73758 10760 Italy 2020-03-25 74386 7503
UK 2020-04-11 78991 11599 Italy 2020-03-26 80589 8215
UK 2020-04-12 84279 12285 Italy 2020-03-27 86498 9134
UK 2020-04-13 88621 13029 Italy 2020-03-28 92472 10023
UK 2020-04-14 93873 14073 Italy 2020-03-29 97689 10779
UK 2020-04-15 98476 14915 Italy 2020-03-30 101739 11591
UK 2020-04-16 103093 15944 Italy 2020-03-31 105792 12428
UK 2020-04-17 108692 16879 Italy 2020-04-01 110574 13155
UK 2020-04-18 114217 17994 Italy 2020-04-02 115242 13915
UK 2020-04-19 120067 18492 Italy 2020-04-03 119827 14681
UK 2020-04-20 124743 19051 Italy 2020-04-04 124632 15362
UK 2020-04-21 129044 20223 Italy 2020-04-05 128948 15887
UK 2020-04-22 133495 21060 Italy 2020-04-06 132547 16523
UK 2020-04-23 138078 21787 Italy 2020-04-07 135586 17127
UK 2020-04-24 143464 22792 Italy 2020-04-08 139422 17669
UK 2020-04-25 148377 23635 Italy 2020-04-09 143626 18279
UK 2020-04-26 152840 24055 Italy 2020-04-10 147577 18849
UK 2020-04-27 157149 24393 Italy 2020-04-11 152271 19468
UK 2020-04-28 161145 25302 Italy 2020-04-12 156363 19899
UK 2020-04-29 165221 26097 Italy 2020-04-13 159516 20465
UK 2020-04-30 171253 26771 Italy 2020-04-14 162488 21067
UK 2020-05-01 177454 27510 Italy 2020-04-15 165155 21645
UK 2020-05-02 182260 28131 Italy 2020-04-16 168941 22170
UK 2020-05-03 186599 28446 Italy 2020-04-17 172434 22745
UK 2020-05-04 190584 28734 Italy 2020-04-18 175925 23227
UK 2020-05-05 194990 29427 Italy 2020-04-19 178972 23660
UK 2020-05-06 201101 30076 Italy 2020-04-20 181228 24114
UK 2020-05-07 206715 30615 Italy 2020-04-21 183957 24648
UK 2020-05-08 211364 31241 Italy 2020-04-22 187327 25085
UK 2020-05-09 215260 31587 Italy 2020-04-23 189973 25549
UK 2020-05-10 219183 31855 Italy 2020-04-24 192994 25969
UK 2020-05-11 223060 32065 Italy 2020-04-25 195351 26384
UK 2020-05-12 226463 32692 Italy 2020-04-26 197675 26644
UK 2020-05-13 229705 33186 Italy 2020-04-27 199414 26977
UK 2020-05-14 233151 33614 Italy 2020-04-28 201505 27359
UK 2020-05-15 236711 33998 Italy 2020-04-29 203591 27682
UK 2020-05-16 240161 34466 Italy 2020-04-30 205463 27967
UK 2020-05-17 243695 34636 Italy 2020-05-01 207428 28236
UK 2020-05-18 246406 34796 Italy 2020-05-02 209328 28710
UK 2020-05-19 248818 35341 Italy 2020-05-03 210717 28884
UK 2020-05-20 248293 35704 Italy 2020-05-04 211938 29079
UK 2020-05-21 250908 36042 Italy 2020-05-05 213013 29315
UK 2020-05-22 NA NA Italy 2020-05-06 214457 29684
UK 2020-05-23 NA NA Italy 2020-05-07 215858 29958
UK 2020-05-24 NA NA Italy 2020-05-08 217185 30201
UK 2020-05-25 NA NA Italy 2020-05-09 218268 30395
UK 2020-05-26 NA NA Italy 2020-05-10 219070 30560
UK 2020-05-27 NA NA Italy 2020-05-11 219814 30739
UK 2020-05-28 NA NA Italy 2020-05-12 221216 30911
UK 2020-05-29 NA NA Italy 2020-05-13 222104 31106
UK 2020-05-30 NA NA Italy 2020-05-14 223096 31368
UK 2020-05-31 NA NA Italy 2020-05-15 223885 31610
UK 2020-06-01 NA NA Italy 2020-05-16 224760 31763
UK 2020-06-02 NA NA Italy 2020-05-17 225435 31908
UK 2020-06-03 NA NA Italy 2020-05-18 225886 32007
UK 2020-06-04 NA NA Italy 2020-05-19 226699 32169
UK 2020-06-05 NA NA Italy 2020-05-20 227364 32330
UK 2020-06-06 NA NA Italy 2020-05-21 228006 32486
