Country Date Cases Deaths Country0 Date0 Cases0 Deaths0
Germany 2020-02-15 16 NA Italy 2020-02-08 NA NA
Germany 2020-02-16 16 NA Italy 2020-02-09 NA NA
Germany 2020-02-17 16 NA Italy 2020-02-10 NA NA
Germany 2020-02-18 16 NA Italy 2020-02-11 NA NA
Germany 2020-02-19 16 NA Italy 2020-02-12 NA NA
Germany 2020-02-20 16 NA Italy 2020-02-13 NA NA
Germany 2020-02-21 16 NA Italy 2020-02-14 NA NA
Germany 2020-02-22 16 NA Italy 2020-02-15 3 NA
Germany 2020-02-23 16 NA Italy 2020-02-16 3 NA
Germany 2020-02-24 16 NA Italy 2020-02-17 3 NA
Germany 2020-02-25 18 NA Italy 2020-02-18 3 NA
Germany 2020-02-26 26 NA Italy 2020-02-19 3 NA
Germany 2020-02-27 48 NA Italy 2020-02-20 4 NA
Germany 2020-02-28 74 NA Italy 2020-02-21 21 1
Germany 2020-02-29 79 NA Italy 2020-02-22 79 2
Germany 2020-03-01 130 NA Italy 2020-02-23 157 3
Germany 2020-03-02 165 NA Italy 2020-02-24 229 7
Germany 2020-03-03 203 NA Italy 2020-02-25 323 11
Germany 2020-03-04 262 NA Italy 2020-02-26 470 12
Germany 2020-03-05 545 NA Italy 2020-02-27 655 17
Germany 2020-03-06 670 NA Italy 2020-02-28 889 21
Germany 2020-03-07 800 NA Italy 2020-02-29 1128 29
Germany 2020-03-08 1040 NA Italy 2020-03-01 1701 41
Germany 2020-03-09 1224 2 Italy 2020-03-02 2036 52
Germany 2020-03-10 1565 2 Italy 2020-03-03 2502 79
Germany 2020-03-11 1966 3 Italy 2020-03-04 3089 107
Germany 2020-03-12 2745 6 Italy 2020-03-05 3858 148
Germany 2020-03-13 3675 8 Italy 2020-03-06 4636 197
Germany 2020-03-14 4599 9 Italy 2020-03-07 5883 233
Germany 2020-03-15 5813 13 Italy 2020-03-08 7375 366
Germany 2020-03-16 7272 17 Italy 2020-03-09 9172 463
Germany 2020-03-17 9367 26 Italy 2020-03-10 10149 631
Germany 2020-03-18 12327 28 Italy 2020-03-11 12462 827
Germany 2020-03-19 15320 44 Italy 2020-03-12 15113 1016
Germany 2020-03-20 19848 68 Italy 2020-03-13 17660 1266
Germany 2020-03-21 22364 84 Italy 2020-03-14 21157 1441
Germany 2020-03-22 24873 94 Italy 2020-03-15 24747 1809
Germany 2020-03-23 29056 123 Italy 2020-03-16 27980 2158
Germany 2020-03-24 32991 159 Italy 2020-03-17 31506 2503
Germany 2020-03-25 37323 206 Italy 2020-03-18 35713 2978
Germany 2020-03-26 43938 267 Italy 2020-03-19 41035 3405
Germany 2020-03-27 50871 351 Italy 2020-03-20 47021 4032
Germany 2020-03-28 57695 433 Italy 2020-03-21 53578 4825
Germany 2020-03-29 62435 541 Italy 2020-03-22 59138 5476
Germany 2020-03-30 66885 645 Italy 2020-03-23 63927 6077
Germany 2020-03-31 71808 775 Italy 2020-03-24 69176 6820
Germany 2020-04-01 77981 931 Italy 2020-03-25 74386 7503
Germany 2020-04-02 84794 1107 Italy 2020-03-26 80589 8215
Germany 2020-04-03 91159 1275 Italy 2020-03-27 86498 9134
Germany 2020-04-04 96092 1444 Italy 2020-03-28 92472 10023
Germany 2020-04-05 100123 1584 Italy 2020-03-29 97689 10779
Germany 2020-04-06 103375 1810 Italy 2020-03-30 101739 11591
Germany 2020-04-07 107663 2016 Italy 2020-03-31 105792 12428
Germany 2020-04-08 113296 2349 Italy 2020-04-01 110574 13155
Germany 2020-04-09 118235 2607 Italy 2020-04-02 115242 13915
Germany 2020-04-10 122171 2736 Italy 2020-04-03 119827 14681
Germany 2020-04-11 125452 2871 Italy 2020-04-04 124632 15362
Germany 2020-04-12 127854 3022 Italy 2020-04-05 128948 15887
Germany 2020-04-13 130072 3194 Italy 2020-04-06 132547 16523
Germany 2020-04-14 132210 3495 Italy 2020-04-07 135586 17127
Germany 2020-04-15 134753 3804 Italy 2020-04-08 139422 17669
Germany 2020-04-16 NA NA Italy 2020-04-09 143626 18279
Germany 2020-04-17 NA NA Italy 2020-04-10 147577 18849
Germany 2020-04-18 NA NA Italy 2020-04-11 152271 19468
Germany 2020-04-19 NA NA Italy 2020-04-12 156363 19899
Germany 2020-04-20 NA NA Italy 2020-04-13 159516 20465
Germany 2020-04-21 NA NA Italy 2020-04-14 162488 21067
Germany 2020-04-22 NA NA Italy 2020-04-15 165155 21645
